row_id,amount,source_url,snapshot_date,verbatim_quote_from_source,note,currency,ein,family,field_path,metric,money_type,object_id,org_id,org_name,period_end,period_start,selected,side,source_file
R-ITIF-2023-INVEST-0619,162270,https://projects.propublica.org/nonprofits/full_text/202440169349300619/IRS990,2026-09-14,"162,270",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYInvestmentIncomeAmt[1],INVEST,organization_invest,202440169349300619,ITIF,Information Technology and Innovation Foundation,2023-02-28,2022-03-01,yes,industry,sources/return-202440169349300619.html
R-ITIF-2022-REV-0620,8254891,https://projects.propublica.org/nonprofits/full_text/202400169349300620/IRS990,2026-09-14,"8,254,891",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalRevenueAmt[1],REV,organization_rev,202400169349300620,ITIF,Information Technology and Innovation Foundation,2022-02-28,2021-03-01,yes,industry,sources/return-202400169349300620.html
R-ITIF-2022-ASSETS-0620,12432343,https://projects.propublica.org/nonprofits/full_text/202400169349300620/IRS990,2026-09-14,"12,432,343",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalAssetsEOYAmt[1],ASSETS,organization_assets,202400169349300620,ITIF,Information Technology and Innovation Foundation,2022-02-28,2021-03-01,yes,industry,sources/return-202400169349300620.html
R-ITIF-2022-PROGRAM-0620,4103476,https://projects.propublica.org/nonprofits/full_text/202400169349300620/IRS990,2026-09-14,"4,103,476",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalProgramServiceExpensesAmt[1],PROGRAM,organization_program,202400169349300620,ITIF,Information Technology and Innovation Foundation,2022-02-28,2021-03-01,yes,industry,sources/return-202400169349300620.html
R-ITIF-2022-EXPENSE-0620,5261125,https://projects.propublica.org/nonprofits/full_text/202400169349300620/IRS990,2026-09-14,"5,261,125",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalExpensesAmt[1],EXPENSE,organization_expense,202400169349300620,ITIF,Information Technology and Innovation Foundation,2022-02-28,2021-03-01,yes,industry,sources/return-202400169349300620.html
R-ITIF-2022-CONTRIB-0620,8113433,https://projects.propublica.org/nonprofits/full_text/202400169349300620/IRS990,2026-09-14,"8,113,433",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYContributionsGrantsAmt[1],CONTRIB,organization_contrib,202400169349300620,ITIF,Information Technology and Innovation Foundation,2022-02-28,2021-03-01,yes,industry,sources/return-202400169349300620.html
R-ITIF-2022-INVEST-0620,136335,https://projects.propublica.org/nonprofits/full_text/202400169349300620/IRS990,2026-09-14,"136,335",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYInvestmentIncomeAmt[1],INVEST,organization_invest,202400169349300620,ITIF,Information Technology and Innovation Foundation,2022-02-28,2021-03-01,yes,industry,sources/return-202400169349300620.html
R-ITIF-2022-REV-2490,7013255,https://projects.propublica.org/nonprofits/full_text/202300129349302490/IRS990,2026-09-14,"7,013,255",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/CYTotalRevenueAmt[1],REV,organization_rev,202300129349302490,ITIF,Information Technology and Innovation Foundation,2022-02-28,2021-03-01,superseded,industry,sources/return-202300129349302490.html
R-ITIF-2022-ASSETS-2490,12416644,https://projects.propublica.org/nonprofits/full_text/202300129349302490/IRS990,2026-09-14,"12,416,644",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalAssetsEOYAmt[1],ASSETS,organization_assets,202300129349302490,ITIF,Information Technology and Innovation Foundation,2022-02-28,2021-03-01,superseded,industry,sources/return-202300129349302490.html
R-ITIF-2022-PROGRAM-2490,4290256,https://projects.propublica.org/nonprofits/full_text/202300129349302490/IRS990,2026-09-14,"4,290,256",Exact filed field; fiscal period dates taken from return header. Organization-wide amount; no AI allocation.,USD,204403497,ITIF,/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990[1]/TotalProgramServiceExpensesAmt[1],PROGRAM,organization_program,202300129349302490,ITIF,Information Technology and Innovation Foundation,2022-02-28,2021-03-01,superseded,industry,sources/return-202300129349302490.html
